incident_id,lat,lon,incident_type,incident_level,datetime,category
289724,36.160913,-86.776837,EMS & Rescue,Moderate,2022-01-01 00:07:25,Nine
289725,36.16272,-86.775347,EMS & Rescue,Moderate,2022-01-01 00:07:59,Nine
289726,36.160659,-86.777427,EMS & Rescue,Moderate,2022-01-01 00:11:44,Nine
289727,36.216591,-86.790614,EMS & Rescue,Moderate,2022-01-01 00:15:46,Nine
289728,36.167447,-86.79742,EMS & Rescue,Low,2022-01-01 00:20:10,Nine
289729,36.17946,-86.798507,EMS & Rescue,Low,2022-01-01 00:20:31,Nine
289730,36.161285,-86.775956,EMS & Rescue,Moderate,2022-01-01 00:24:46,Nine
289731,36.160388,-86.778176,EMS & Rescue,Moderate,2022-01-01 00:26:20,Nine
289732,36.045748,-86.674218,EMS & Rescue,Moderate,2022-01-01 00:23:00,Nine
289733,36.16095,-86.775805,EMS & Rescue,Moderate,2022-01-01 00:30:34,Nine
289734,36.156946,-86.79323,EMS & Rescue,Low,2022-01-01 00:31:59,Nine
289735,36.229387,-86.759284,EMS & Rescue,Moderate,2022-01-01 00:30:00,Nine
289736,36.220557,-86.761059,False Alarm False Call,Low,2022-01-01 00:35:17,ThreeF
289737,36.162245,-86.774364,EMS & Rescue,Moderate,2022-01-01 00:36:41,Nine
289738,36.056665,-86.611109,EMS & Rescue,Low,2022-01-01 00:37:04,Nine
289739,36.161132,-86.777457,EMS & Rescue,Moderate,2022-01-01 00:37:16,Nine
289740,36.256445,-86.71325,EMS & Rescue,Moderate,2022-01-01 00:41:41,Nine
289741,36.152435,-86.791979,False Alarm False Call,Low,2022-01-01 00:51:42,ThreeF
289742,36.158009,-86.878509,Service Call,Low,2022-01-01 00:55:07,Five
289743,36.167981,-86.779453,EMS & Rescue,High,2022-01-01 00:56:22,Nine
289744,36.16004,-86.773142,EMS & Rescue,Moderate,2022-01-01 00:52:00,Nine
289745,36.15471,-86.751144,Fire,High,2022-01-01 00:58:14,Four
289746,36.158483,-86.789705,EMS & Rescue,Low,2022-01-01 00:59:23,Nine
289747,36.160659,-86.779332,EMS & Rescue,Moderate,2022-01-01 00:59:54,Nine
289748,36.160545,-86.777803,EMS & Rescue,Moderate,2022-01-01 01:06:07,Nine
289749,36.205839,-86.771616,EMS & Rescue,Low,2022-01-01 01:03:00,Nine
289750,36.150539,-86.771971,EMS & Rescue,Moderate,2022-01-01 01:09:00,Nine
289751,36.161939,-86.774361,EMS & Rescue,Moderate,2022-01-01 01:25:07,Nine
289752,36.070696,-86.718092,Fire,High,2022-01-01 01:28:03,Four
289753,36.168864,-86.761243,EMS & Rescue,Low,2022-01-01 01:30:00,Nine
289754,36.116478,-86.71195,EMS & Rescue,High,2022-01-01 01:33:00,Nine
289755,36.160388,-86.778176,EMS & Rescue,Moderate,2022-01-01 01:38:00,Nine
289756,36.200634,-86.700434,EMS & Rescue,Moderate,2022-01-01 01:40:33,Nine
289757,36.161132,-86.777457,EMS & Rescue,Moderate,2022-01-01 01:40:45,Nine
289758,36.078127,-86.721156,Fire,High,2022-01-01 01:42:19,Four
289759,36.169476,-86.80663,EMS & Rescue,Moderate,2022-01-01 01:42:24,Nine
289760,36.167981,-86.779453,EMS & Rescue,Moderate,2022-01-01 01:43:00,Nine
289761,36.17283,-86.784926,EMS & Rescue,Moderate,2022-01-01 01:43:50,Nine
289762,36.161589,-86.77656,EMS & Rescue,Moderate,2022-01-01 01:44:33,Nine
289763,36.147565,-86.781547,False Alarm False Call,Moderate,2022-01-01 01:39:00,ThreeF
289764,36.156121,-86.806326,False Alarm False Call,Low,2022-01-01 01:45:20,ThreeF
289765,36.332679,-86.868126,EMS & Rescue,Low,2022-01-01 01:47:13,Nine
289766,36.147305,-86.814575,Service Call,Moderate,2022-01-01 01:49:46,Five
289767,36.160253,-86.773142,EMS & Rescue,Moderate,2022-01-01 01:51:30,Nine
289768,36.138431,-86.80214,EMS & Rescue,Moderate,2022-01-01 01:41:00,Nine
289769,36.171858,-86.767905,EMS & Rescue,Low,2022-01-01 01:49:00,Nine
289770,36.149704,-86.77919,EMS & Rescue,Low,2022-01-01 01:56:57,Nine
289771,36.196894,-86.741613,EMS & Rescue,Low,2022-01-01 02:05:12,Nine
289772,36.128261,-86.907751,EMS & Rescue,Low,2022-01-01 02:07:36,Nine
289773,36.162091,-86.57628,EMS & Rescue,High,2022-01-01 02:05:00,Nine
289774,36.043945,-86.693305,EMS & Rescue,Low,2022-01-01 02:10:11,Nine
289775,36.176721,-86.786152,EMS & Rescue,Low,2022-01-01 02:14:00,Nine
289776,36.162907,-86.776868,EMS & Rescue,Moderate,2022-01-01 02:20:43,Nine
289777,36.034595,-86.611723,EMS & Rescue,Moderate,2022-01-01 02:20:00,Nine
289778,36.24101,-86.86927,EMS & Rescue,Moderate,2022-01-01 02:21:00,Nine
289779,36.160491,-86.778946,EMS & Rescue,Moderate,2022-01-01 02:26:52,Nine
289780,36.236221,-86.759066,EMS & Rescue,Low,2022-01-01 02:34:22,Nine
289781,36.201003,-86.752197,EMS & Rescue,Low,2022-01-01 02:29:00,Nine
289782,36.296078,-86.811288,EMS & Rescue,Critical,2022-01-01 02:41:51,Nine
289783,36.057744,-86.760152,Fire,Low,2022-01-01 02:40:00,FourA
289784,36.111461,-86.809685,False Alarm False Call,Low,2022-01-01 02:45:25,ThreeF
289785,36.15939,-86.780995,EMS & Rescue,Moderate,2022-01-01 02:45:45,Nine
289786,36.11109,-86.783713,False Alarm False Call,Low,2022-01-01 02:41:00,ThreeF
289787,36.15712,-86.774677,EMS & Rescue,Moderate,2022-01-01 02:48:14,Nine
289788,36.071916,-86.93372,EMS & Rescue,High,2022-01-01 02:52:00,Nine
289789,36.156603,-86.787952,EMS & Rescue,Moderate,2022-01-01 02:50:00,Nine
289790,36.090835,-86.7024,False Alarm False Call,Low,2022-01-01 02:56:29,ThreeF
289791,36.151504,-86.751292,EMS & Rescue,Low,2022-01-01 02:56:00,Nine
289792,36.256148,-86.655278,EMS & Rescue,Low,2022-01-01 03:05:21,Nine
289793,36.179796,-86.730766,EMS & Rescue,Low,2022-01-01 03:03:00,Nine
289794,36.197131,-86.768245,EMS & Rescue,Low,2022-01-01 03:07:31,Nine
289795,36.182781,-86.77227,EMS & Rescue,Moderate,2022-01-01 03:09:00,Nine
289796,36.079615,-86.726322,Fire,High,2022-01-01 03:20:38,FourA
289797,36.141337,-86.74259,EMS & Rescue,Moderate,2022-01-01 03:25:08,Nine
289798,36.158185,-86.834206,EMS & Rescue,Moderate,2022-01-01 03:37:00,Nine
289799,36.176627,-86.791838,False Alarm False Call,Low,2022-01-01 03:47:09,ThreeF
289800,36.328632,-86.720885,EMS & Rescue,Moderate,2022-01-01 03:47:28,Nine
289801,36.072997,-86.731959,EMS & Rescue,Moderate,2022-01-01 03:44:00,Nine
289802,36.201211,-86.70302,EMS & Rescue,Moderate,2022-01-01 03:49:00,Nine
289803,36.231632,-86.772107,EMS & Rescue,Low,2022-01-01 03:47:00,Nine
289804,36.130972,-86.82136,EMS & Rescue,Moderate,2022-01-01 03:57:01,Nine
289805,36.074404,-86.626467,EMS & Rescue,High,2022-01-01 04:00:19,Nine
289806,36.192917,-86.599701,EMS & Rescue,Low,2022-01-01 04:02:00,Nine
289807,36.158377,-86.780301,EMS & Rescue,Moderate,2022-01-01 04:05:57,Nine
289808,36.296078,-86.811288,EMS & Rescue,Moderate,2022-01-01 04:09:41,Nine
289809,36.148673,-86.860787,EMS & Rescue,Low,2022-01-01 04:12:00,Nine
289810,36.051873,-86.64757,EMS & Rescue,Low,2022-01-01 04:20:48,Nine
289811,36.157738,-86.792757,EMS & Rescue,Low,2022-01-01 04:24:07,Nine
289812,36.206526,-86.779394,EMS & Rescue,Low,2022-01-01 04:31:00,Nine
289813,36.161077,-86.844956,EMS & Rescue,Moderate,2022-01-01 04:36:59,Nine
289814,36.161633,-86.659893,EMS & Rescue,Low,2022-01-01 04:40:09,Nine
289815,36.030053,-86.579533,EMS & Rescue,Moderate,2022-01-01 04:39:00,Nine
289816,36.096084,-86.63249,Service Call,Low,2022-01-01 04:45:45,Five
289817,36.114635,-86.745819,EMS & Rescue,Low,2022-01-01 04:47:12,Nine
289818,36.180601,-86.796353,EMS & Rescue,Low,2022-01-01 04:49:00,Nine
289819,36.129337,-86.80257,EMS & Rescue,Low,2022-01-01 04:54:00,Nine
289820,36.168562,-86.780072,EMS & Rescue,Moderate,2022-01-01 04:58:51,Nine
289821,36.045288,-86.628408,EMS & Rescue,Low,2022-01-01 04:55:00,Nine
289822,36.158347,-86.784207,EMS & Rescue,Moderate,2022-01-01 05:08:18,Nine
289823,36.132512,-86.719732,EMS & Rescue,Moderate,2022-01-01 02:54:00,Nine
289824,36.091105,-86.649678,EMS & Rescue,Moderate,2022-01-01 05:12:00,Nine
289825,36.21915,-86.807479,EMS & Rescue,Low,2022-01-01 05:14:00,Nine
289826,36.159591,-86.77347,False Alarm False Call,Low,2022-01-01 05:30:07,ThreeF
289827,36.146396,-86.692894,EMS & Rescue,Low,2022-01-01 05:34:00,Nine
289828,36.07187,-86.654353,EMS & Rescue,High,2022-01-01 05:40:00,Nine
289829,36.265038,-86.747262,EMS & Rescue,Moderate,2022-01-01 05:57:00,Nine
289830,36.10301,-86.739562,Service Call,Low,2022-01-01 05:59:03,Nine
289831,36.195801,-86.597965,Service Call,Moderate,2022-01-01 06:01:13,Five
289832,36.274422,-86.714949,EMS & Rescue,Moderate,2022-01-01 06:00:00,Nine
289833,36.053618,-86.588719,EMS & Rescue,High,2022-01-01 06:04:03,Nine
289834,36.093893,-86.624863,EMS & Rescue,Moderate,2022-01-01 06:14:15,Nine
289835,36.241149,-86.630039,Service Call,Moderate,2022-01-01 06:16:39,Five
289836,36.183356,-86.790263,EMS & Rescue,Low,2022-01-01 06:11:00,Nine
289837,36.244746,-86.731595,EMS & Rescue,Low,2022-01-01 06:28:44,Nine
289838,36.079501,-86.644604,EMS & Rescue,Low,2022-01-01 06:30:10,Nine
289839,36.287944,-86.747862,EMS & Rescue,Moderate,2022-01-01 06:32:31,Nine
289840,36.10301,-86.739562,EMS & Rescue,Moderate,2022-01-01 06:32:32,Nine
289841,36.052248,-86.653197,EMS & Rescue,Low,2022-01-01 06:30:00,Nine
289842,36.119813,-86.707307,Service Call,Moderate,2022-01-01 06:35:14,Five
289843,36.257411,-86.712803,False Alarm False Call,Low,2022-01-01 06:46:12,ThreeF
289844,36.152475,-86.764309,EMS & Rescue,Low,2022-01-01 06:47:45,Nine
289845,36.097785,-86.743828,EMS & Rescue,Low,2022-01-01 06:53:47,Nine
289846,36.051026,-86.96546,EMS & Rescue,Moderate,2022-01-01 07:02:09,Nine
289847,36.000248,-86.635898,EMS & Rescue,Moderate,2022-01-01 07:02:46,Nine
289848,36.173536,-86.603263,EMS & Rescue,Low,2022-01-01 07:01:00,Nine
289849,36.144659,-86.639519,EMS & Rescue,Moderate,2022-01-01 07:06:00,Nine
289850,36.263451,-86.675466,EMS & Rescue,Low,2022-01-01 07:12:00,Nine
289851,36.103805,-86.717966,EMS & Rescue,Moderate,2022-01-01 07:16:16,Nine
289852,36.121864,-86.70244,EMS & Rescue,Moderate,2022-01-01 07:23:49,Nine
289853,36.109502,-86.923036,Fire,Low,2022-01-01 07:24:00,Two
289854,36.171891,-86.822457,EMS & Rescue,Low,2022-01-01 07:30:03,Nine
289855,36.128679,-86.806814,EMS & Rescue,Low,2022-01-01 07:30:00,Nine
289856,36.178465,-86.796499,EMS & Rescue,Low,2022-01-01 07:40:00,Nine
289857,36.203164,-86.590186,EMS & Rescue,Low,2022-01-01 07:46:07,Nine
289858,36.124289,-86.911316,False Alarm False Call,Low,2022-01-01 07:53:29,ThreeF
289859,36.202512,-86.740456,False Alarm False Call,Low,2022-01-01 07:56:56,ThreeF
289860,36.089955,-86.728275,Service Call,Moderate,2022-01-01 08:01:05,Five
289861,36.043839,-86.717704,EMS & Rescue,Moderate,2022-01-01 08:11:22,Nine
289862,36.218654,-86.793532,EMS & Rescue,Moderate,2022-01-01 08:17:00,Nine
289863,36.087618,-86.826549,Service Call,Low,2022-01-01 08:23:00,Five
289864,36.18002,-86.803062,EMS & Rescue,Low,2022-01-01 08:32:31,Nine
289865,36.03787,-86.708907,EMS & Rescue,Moderate,2022-01-01 08:09:00,Nine
289866,36.182316,-86.71616,Hazardous Condition,Moderate,2022-01-01 08:34:37,Five
289867,36.077092,-87.012163,EMS & Rescue,Low,2022-01-01 08:37:00,Nine
289868,36.167808,-86.787187,EMS & Rescue,Low,2022-01-01 08:41:30,Nine
289869,36.253355,-86.698148,EMS & Rescue,Low,2022-01-01 08:42:00,Nine
289870,36.110331,-86.784916,EMS & Rescue,Low,2022-01-01 08:52:00,Nine
289871,36.259013,-86.71571,EMS & Rescue,Moderate,2022-01-01 08:54:24,Nine
289872,36.073046,-86.636298,Service Call,Low,2022-01-01 08:55:05,Five
289873,36.000248,-86.635898,EMS & Rescue,High,2022-01-01 09:04:43,Nine
289874,36.300617,-86.714549,Service Call,Moderate,2022-01-01 09:05:48,Five
