StationID,Stations,lat,lon,Nashville Fire Stations,Engine_ID,Truck,Rescue,Hazard,Squad,FAST,Medic,Brush,Boat,UTV,REACH,Chief
0,Station 1,36.2293898,-86.75674762,130 Broadmoor Avenue,1,,1,,1,,,,,,,
1,Station 3,36.18671118,-86.76841464,850 Meridian Avenue,1,1,,,,,1,,,,,1
2,Station 4,36.08997568,-86.68712507,5111 Harding Place,1,,,,,,1,,,,,
3,Station 5,36.14332205,-86.77911728,1101 8th Ave South,1,,2,,,,1,,,,,1
4,Station 6,36.0684517,-86.71690986,377 Haywood Lane,1,,,,,1,2,,,,,
5,Station 7,36.11797321,-86.88701189,638 Davidson Rd,1,,,,,,1,,,,,
6,Station 8,36.13325639,-86.78841364,2010 12th Avenue South,1,,,,,,1,,,,,1
7,Station 9,36.15500967,-86.77132903,601 2nd Av S.,2,1,,,1,1,2,,,,,1
8,Station 10,36.04018492,-86.74020073,15530 Old Hickory Blvd.,1,,,,,,1,,,,,
9,Station 11,36.17918081,-86.81117654,1745 18th Avenue North,1,1,,,1,,1,,,,,
10,Station 12,36.14124171,-86.74251022,101 Polk Avenue,1,,1,1,,,1,,,,,
11,Station 13,36.15306565,-86.84058025,410 45th Avenue North,1,,1,1,,,,,1,,,
12,Station 14,36.17517207,-86.74198245,1600 Holly Street,1,,,,,,,,,,,
13,Station 15,36.12472149,-86.69754724,1320 Vultee Boulevard,1,,,,,,1,,,,,1
14,Station 16,36.12953533,-86.80273275,2219 21st Avenue South,1,,,,,,,,,,,
15,Station 17,36.13075396,-86.83585198,3911 West End Avenue,1,1,,,,,1,,,,,
16,Station 18,36.19655894,-86.73747264,1151 East Cahal Avenue,1,,,,,,1,,,,,
17,Station 19,36.1558197,-86.81588039,516 26th Avenue North,1,1,,,1,,1,,,1,,2
18,Station 20,36.09179833,-86.82652577,1626 Harding Place,1,,,,,,1,1,,,,1
19,Station 21,36.11673145,-86.74709913,320 Joyner Avenue,1,1,,,1,,1,,,,1,1
20,Station 22,36.21669474,-86.68843863,2781 Pennington Bend,1,,,,,,,,1,1,,
21,Station 23,36.16882547,-86.86187364,6215 Centennial Blvd.,1,,,,,,1,,,,,
22,Station 24,36.20358137,-86.84101511,3851 Clarksville Highway,1,,,,,,1,,,,,1
23,Station 25,36.21617773,-86.80143668,2589 Whites Creek Pike,1,1,,,,,1,,,,,
24,Station 26,36.04046927,-86.67189415,5410 Hickory Park Drive,1,1,,,1,,,,,,,
25,Station 27,36.07824522,-86.7582118,4720 Trousdale Drive,1,1,,,,,,,,,,
26,Station 28,36.16945095,-86.6827913,2394 Lebanon Road,1,1,,,1,,1,,1,,,
27,Station 29,36.22405524,-86.72608019,4201 Gallatin Road,1,1,,,1,,1,,,,,
28,Station 30,36.31605854,-86.87716265,3715 Old Clarksville Hwy,1,,,,,,1,1,,1,,
29,Station 31,36.25897974,-86.71578895,224 Madison Street,1,,,,,,1,,,,,1
30,Station 32,36.20114686,-86.6080024,4248 Andrew Jackson Pkwy,1,1,,,,,1,,,,,1
31,Station 33,36.06738742,-86.6306927,2501 Forest View Drive,1,,,,,,2,,,,,1
32,Station 34,36.0920941,-86.98300444,8350 Highway 70 South,1,,,,,,,1,,,,
33,Station 35,36.05212719,-86.59866552,2034 Hobson Pike,1,,,,,,1,,1,1,,
34,Station 36,36.2644832,-86.648013,1000 Donelson Street,1,,,,,,,,1,,,
35,Station 37,36.07191773,-86.93364883,646 Colice Jean Road,1,1,,,1,,1,,,1,,
36,Station 38,36.26049417,-86.68394353,201 Larkin Springs Road,1,,,,,,1,,,,1,1
37,Station 39,36.29107537,-86.73860485,1247 South Dickerson Road,1,,,,,,1,,,,,
38,Station 40,36.20020966,-86.62134092,4031 Plantation Drive,1,,,,,,1,,,,,
39,Station 41,36.3221121,-86.71166598,105 Long Hollow Pike,,,,,,,1,,,,,
